skill,prefix,family
1password,1password,1password
8-bit-orbit-video-template,8,8-bit
ab-test-setup,ab,ab-test
ad-creative,ad,ad-creative
add-endpoint,add,add-endpoint
add-entity,add,add-entity
add-feature,add,add-feature
add-model-descriptions,add,add-model
add-package-feature,add,add-package
adr-create,adr,adr-create
adr-index,adr,adr-index
adr-review,adr,adr-review
after-hours-editorial-template,after,after-hours
agent-adaptive-coordinator,agent,agent-adaptive
agent-agent,agent,agent-agent
agent-agentic-payments,agent,agent-agentic
agent-analyze-code-quality,agent,agent-analyze
agent-app-store,agent,agent-app
agent-arch-system-design,agent,agent-arch
agent-architecture,agent,agent-architecture
agent-authentication,agent,agent-authentication
agent-automation-smart-agent,agent,agent-automation
agent-base-template-generator,agent,agent-base
agent-benchmark-suite,agent,agent-benchmark
agent-browser,agent,agent-browser
agent-byzantine-coordinator,agent,agent-byzantine
agent-challenges,agent,agent-challenges
agent-code-analyzer,agent,agent-code
agent-code-goal-planner,agent,agent-code
agent-code-review-swarm,agent,agent-code
agent-coder,agent,agent-coder
agent-collective-intelligence-coordinator,agent,agent-collective
agent-consensus-coordinator,agent,agent-consensus
agent-coordination,agent,agent-coordination
agent-coordinator-swarm-init,agent,agent-coordinator
agent-crdt-synchronizer,agent,agent-crdt
agent-data-ml-model,agent,agent-data
agent-dev-backend-api,agent,agent-dev
agent-docs-api-openapi,agent,agent-docs
agent-github-modes,agent,agent-github
agent-github-pr-manager,agent,agent-github
agent-goal-planner,agent,agent-goal
agent-gossip-coordinator,agent,agent-gossip
agent-hierarchical-coordinator,agent,agent-hierarchical
agent-implementer-sparc-coder,agent,agent-implementer
agent-issue-tracker,agent,agent-issue
agent-load-balancer,agent,agent-load
agent-matrix-optimizer,agent,agent-matrix
agent-memory-coordinator,agent,agent-memory
agent-mesh-coordinator,agent,agent-mesh
agent-migration-plan,agent,agent-migration
agent-multi-repo-swarm,agent,agent-multi
agent-neural-network,agent,agent-neural
agent-ops-cicd-github,agent,agent-ops
agent-orchestrator-task,agent,agent-orchestrator
agent-pagerank-analyzer,agent,agent-pagerank
agent-payments,agent,agent-payments
agent-performance-analyzer,agent,agent-performance
agent-performance-benchmarker,agent,agent-performance
